t,rail,mW,zone,C
1780554093.1695747,VDD_IN,5972.992,,
1780554093.1695747,VDD_CPU_GPU_CV,1804.672,,
1780554093.1695747,VDD_SOC,1532.544,,
1780554093.1695747,,,cpu-thermal,58.562
1780554093.1695747,,,gpu-thermal,58.218
1780554093.1695747,,,soc0-thermal,56.656
1780554093.1695747,,,soc1-thermal,55.968
1780554093.1695747,,,soc2-thermal,56.593
1780554093.1695747,,,tj-thermal,58.562
1780554093.2750695,VDD_IN,5933.696,,
1780554093.2750695,VDD_CPU_GPU_CV,1804.672,,
1780554093.2750695,VDD_SOC,1493.248,,
1780554093.2750695,,,cpu-thermal,58.656
1780554093.2750695,,,gpu-thermal,58.468
1780554093.2750695,,,soc0-thermal,56.5
1780554093.2750695,,,soc1-thermal,56.0
1780554093.2750695,,,soc2-thermal,56.562
1780554093.2750695,,,tj-thermal,58.656
1780554093.3808632,VDD_IN,5855.104,,
1780554093.3808632,VDD_CPU_GPU_CV,1765.44,,
1780554093.3808632,VDD_SOC,1493.248,,
1780554093.3808632,,,cpu-thermal,58.281
1780554093.3808632,,,gpu-thermal,58.406
1780554093.3808632,,,soc0-thermal,56.562
1780554093.3808632,,,soc1-thermal,56.093
1780554093.3808632,,,soc2-thermal,56.468
1780554093.3808632,,,tj-thermal,58.406
1780554093.4868116,VDD_IN,5815.808,,
1780554093.4868116,VDD_CPU_GPU_CV,1765.44,,
1780554093.4868116,VDD_SOC,1493.248,,
1780554093.4868116,,,cpu-thermal,58.343
1780554093.4868116,,,gpu-thermal,58.281
1780554093.4868116,,,soc0-thermal,56.593
1780554093.4868116,,,soc1-thermal,55.906
1780554093.4868116,,,soc2-thermal,56.406
1780554093.4868116,,,tj-thermal,58.343
1780554093.5927544,VDD_IN,5776.512,,
1780554093.5927544,VDD_CPU_GPU_CV,1765.44,,
1780554093.5927544,VDD_SOC,1490.816,,
1780554093.5927544,,,cpu-thermal,58.406
1780554093.5927544,,,gpu-thermal,58.218
1780554093.5927544,,,soc0-thermal,56.687
1780554093.5927544,,,soc1-thermal,55.937
1780554093.5927544,,,soc2-thermal,56.562
1780554093.5927544,,,tj-thermal,58.406
1780554093.6985402,VDD_IN,5727.872,,
1780554093.6985402,VDD_CPU_GPU_CV,1723.392,,
1780554093.6985402,VDD_SOC,1490.816,,
1780554093.6985402,,,cpu-thermal,58.562
1780554093.6985402,,,gpu-thermal,58.312
1780554093.6985402,,,soc0-thermal,56.5
1780554093.6985402,,,soc1-thermal,56.0
1780554093.6985402,,,soc2-thermal,56.406
1780554093.6985402,,,tj-thermal,58.218
1780554093.8045943,VDD_IN,5658.624,,
1780554093.8045943,VDD_CPU_GPU_CV,1686.976,,
1780554093.8045943,VDD_SOC,1453.952,,
1780554093.8045943,,,cpu-thermal,58.156
1780554093.8045943,,,gpu-thermal,58.25
1780554093.8045943,,,soc0-thermal,56.468
1780554093.8045943,,,soc1-thermal,56.125
1780554093.8045943,,,soc2-thermal,56.437
1780554093.8045943,,,tj-thermal,58.5
1780554093.910361,VDD_IN,5440.512,,
1780554093.910361,VDD_CPU_GPU_CV,1535.04,,
1780554093.910361,VDD_SOC,1458.688,,
1780554093.910361,,,cpu-thermal,58.031
1780554093.910361,,,gpu-thermal,58.093
1780554093.910361,,,soc0-thermal,56.5
1780554093.910361,,,soc1-thermal,55.968
1780554093.910361,,,soc2-thermal,56.406
1780554093.910361,,,tj-thermal,58.093
1780554094.0157406,VDD_IN,5330.88,,
1780554094.0157406,VDD_CPU_GPU_CV,1458.688,,
1780554094.0157406,VDD_SOC,1461.056,,
1780554094.0157406,,,cpu-thermal,58.218
1780554094.0157406,,,gpu-thermal,58.0
1780554094.0157406,,,soc0-thermal,56.468
1780554094.0157406,,,soc1-thermal,55.843
1780554094.0157406,,,soc2-thermal,56.312
1780554094.0157406,,,tj-thermal,58.0
1780554094.121926,VDD_IN,5401.088,,
1780554094.121926,VDD_CPU_GPU_CV,1535.04,,
1780554094.121926,VDD_SOC,1458.688,,
1780554094.121926,,,cpu-thermal,58.062
1780554094.121926,,,gpu-thermal,58.406
1780554094.121926,,,soc0-thermal,56.437
1780554094.121926,,,soc1-thermal,56.0
1780554094.121926,,,soc2-thermal,56.375
1780554094.121926,,,tj-thermal,58.406
1780554094.2277405,VDD_IN,5471.04,,
1780554094.2277405,VDD_CPU_GPU_CV,1571.84,,
1780554094.2277405,VDD_SOC,1456.32,,
1780554094.2277405,,,cpu-thermal,58.062
1780554094.2277405,,,gpu-thermal,58.25
1780554094.2277405,,,soc0-thermal,56.375
1780554094.2277405,,,soc1-thermal,55.968
1780554094.2277405,,,soc2-thermal,56.281
1780554094.2277405,,,tj-thermal,58.25
1780554094.3336086,VDD_IN,5510.4,,
1780554094.3336086,VDD_CPU_GPU_CV,1611.136,,
1780554094.3336086,VDD_SOC,1453.952,,
1780554094.3336086,,,cpu-thermal,58.031
1780554094.3336086,,,gpu-thermal,58.125
1780554094.3336086,,,soc0-thermal,56.375
1780554094.3336086,,,soc1-thermal,55.843
1780554094.3336086,,,soc2-thermal,56.281
1780554094.3336086,,,tj-thermal,58.125
1780554094.4402037,VDD_IN,5580.032,,
1780554094.4402037,VDD_CPU_GPU_CV,1647.744,,
1780554094.4402037,VDD_SOC,1453.952,,
1780554094.4402037,,,cpu-thermal,58.0
1780554094.4402037,,,gpu-thermal,58.093
1780554094.4402037,,,soc0-thermal,56.343
1780554094.4402037,,,soc1-thermal,55.875
1780554094.4402037,,,soc2-thermal,56.25
1780554094.4402037,,,tj-thermal,58.093
1780554094.5461135,VDD_IN,5619.328,,
1780554094.5461135,VDD_CPU_GPU_CV,1686.976,,
1780554094.5461135,VDD_SOC,1453.952,,
1780554094.5461135,,,cpu-thermal,58.093
1780554094.5461135,,,gpu-thermal,58.25
1780554094.5461135,,,soc0-thermal,56.406
1780554094.5461135,,,soc1-thermal,55.937
1780554094.5461135,,,soc2-thermal,56.312
1780554094.5461135,,,tj-thermal,58.25
1780554094.6520174,VDD_IN,5658.624,,
1780554094.6520174,VDD_CPU_GPU_CV,1686.976,,
1780554094.6520174,VDD_SOC,1451.584,,
1780554094.6520174,,,cpu-thermal,58.406
1780554094.6520174,,,gpu-thermal,58.062
1780554094.6520174,,,soc0-thermal,56.437
1780554094.6520174,,,soc1-thermal,55.812
1780554094.6520174,,,soc2-thermal,56.312
1780554094.6520174,,,tj-thermal,58.406
1780554094.7582202,VDD_IN,5649.408,,
1780554094.7582202,VDD_CPU_GPU_CV,1723.392,,
1780554094.7582202,VDD_SOC,1451.584,,
1780554094.7582202,,,cpu-thermal,57.968
1780554094.7582202,,,gpu-thermal,58.0
1780554094.7582202,,,soc0-thermal,56.375
1780554094.7582202,,,soc1-thermal,55.718
1780554094.7582202,,,soc2-thermal,56.187
1780554094.7582202,,,tj-thermal,58.25
1780554094.8642144,VDD_IN,5549.76,,
1780554094.8642144,VDD_CPU_GPU_CV,1611.136,,
1780554094.8642144,VDD_SOC,1456.32,,
1780554094.8642144,,,cpu-thermal,57.875
1780554094.8642144,,,gpu-thermal,57.906
1780554094.8642144,,,soc0-thermal,56.312
1780554094.8642144,,,soc1-thermal,55.843
1780554094.8642144,,,soc2-thermal,56.218
1780554094.8642144,,,tj-thermal,57.906
1780554094.969984,VDD_IN,5440.512,,
